"gene_symbol","ensembl_id","gene_id"
"1500011B03Rik","ENSMUSP00000116625","ENSMUSG00000072694"
"1500011B03Rik","ENSMUSP00000098411","ENSMUSG00000072694"
"1500015O10Rik","ENSMUSP00000027217","ENSMUSG00000026051"
"1520401A03Rik","ENSMUSP00000144664","ENSMUSG00000043747"
"1520401A03Rik","ENSMUSP00000144253","ENSMUSG00000043747"
"1600002K03Rik","ENSMUSP00000037758","ENSMUSG00000035595"
"1600012H06Rik","ENSMUSP00000093344","ENSMUSG00000050088"
"1600012H06Rik","ENSMUSP00000125970","ENSMUSG00000050088"
"1600012H06Rik","ENSMUSP00000133628","ENSMUSG00000050088"
"1600014C10Rik","ENSMUSP00000146124","ENSMUSG00000054676"
"1600014C10Rik","ENSMUSP00000145694","ENSMUSG00000054676"
"1600014C10Rik","ENSMUSP00000146135","ENSMUSG00000054676"
"1600014C10Rik","ENSMUSP00000137538","ENSMUSG00000054676"
"1600014C10Rik","ENSMUSP00000145679","ENSMUSG00000054676"
"1600014C10Rik","ENSMUSP00000145884","ENSMUSG00000054676"
"1600014C10Rik","ENSMUSP00000070449","ENSMUSG00000054676"
"1600014C10Rik","ENSMUSP00000130271","ENSMUSG00000054676"
"1600014C23Rik","ENSMUSP00000136788","ENSMUSG00000094690"
"1600015I10Rik","ENSMUSP00000031837","ENSMUSG00000029813"
"1700001C02Rik","ENSMUSP00000142635","ENSMUSG00000029182"
"1700001C02Rik","ENSMUSP00000142583","ENSMUSG00000029182"
"1700001C02Rik","ENSMUSP00000031078","ENSMUSG00000029182"
"1700001C02Rik","ENSMUSP00000110391","ENSMUSG00000029182"
"1700001C19Rik","ENSMUSP00000050873","ENSMUSG00000047150"
"1700001C19Rik","ENSMUSP00000072887","ENSMUSG00000047150"
"1700001C19Rik","ENSMUSP00000155338","ENSMUSG00000116001"
"1700001C19Rik","ENSMUSP00000155141","ENSMUSG00000116001"
"1700001F09Rik","ENSMUSP00000136772","ENSMUSG00000095384"
"1700001J03Rik","ENSMUSP00000073399","ENSMUSG00000095040"
"1700001K19Rik","ENSMUSP00000068238","ENSMUSG00000056508"
"1700001K19Rik","ENSMUSP00000152785","ENSMUSG00000056508"
"1700001L19Rik","ENSMUSP00000022007","ENSMUSG00000021534"
"1700001L19Rik","ENSMUSP00000152877","ENSMUSG00000021534"
"1700001O22Rik","ENSMUSP00000058055","ENSMUSG00000044320"
"1700001P01Rik","ENSMUSP00000103202","ENSMUSG00000018543"
"1700003E16Rik","ENSMUSP00000032106","ENSMUSG00000030030"
"1700003E16Rik","ENSMUSP00000145406","ENSMUSG00000030030"
"1700003F12Rik","ENSMUSP00000035523","ENSMUSG00000038523"
"1700003F12Rik","ENSMUSP00000105331","ENSMUSG00000038523"
"1700003H04Rik","ENSMUSP00000137342","ENSMUSG00000039174"
"1700003H04Rik","ENSMUSP00000136984","ENSMUSG00000039174"
"1700003H04Rik","ENSMUSP00000136217","ENSMUSG00000039174"
"1700003H04Rik","ENSMUSP00000136525","ENSMUSG00000039174"
"1700003H04Rik","ENSMUSP00000136955","ENSMUSG00000039174"
"1700003H04Rik","ENSMUSP00000035388","ENSMUSG00000039174"
"1700006A11Rik","ENSMUSP00000029598","ENSMUSG00000027973"
"1700006A11Rik","ENSMUSP00000143323","ENSMUSG00000027973"
"1700007K13Rik","ENSMUSP00000083557","ENSMUSG00000026831"
"1700007K13Rik","ENSMUSP00000116111","ENSMUSG00000026831"
"1700008O03Rik","ENSMUSP00000103566","ENSMUSG00000008028"
"1700008O03Rik","ENSMUSP00000123280","ENSMUSG00000008028"
"1700008P02Rik","ENSMUSP00000088923","ENSMUSG00000069118"
"1700009N14Rik","ENSMUSP00000029955","ENSMUSG00000028287"
"1700010B08Rik","ENSMUSP00000072830","ENSMUSG00000057047"
"1700010I14Rik","ENSMUSP00000024650","ENSMUSG00000023873"
"1700010I14Rik","ENSMUSP00000156914","ENSMUSG00000023873"
"1700010I14Rik","ENSMUSP00000118841","ENSMUSG00000023873"
"1700010I14Rik","ENSMUSP00000156573","ENSMUSG00000023873"
"1700010I14Rik","ENSMUSP00000156639","ENSMUSG00000023873"
"1700011L22Rik","ENSMUSP00000034109","ENSMUSG00000031682"
"1700011M02Rik","ENSMUSP00000109232","ENSMUSG00000079476"
"1700012A03Rik","ENSMUSP00000031778","ENSMUSG00000029766"
"1700012B07Rik","ENSMUSP00000102285","ENSMUSG00000020617"
"1700012B07Rik","ENSMUSP00000020941","ENSMUSG00000020617"
"1700012B07Rik","ENSMUSP00000115395","ENSMUSG00000020617"
"1700012B09Rik","ENSMUSP00000140386","ENSMUSG00000031927"
"1700012B09Rik","ENSMUSP00000139796","ENSMUSG00000031927"
"1700012B09Rik","ENSMUSP00000140756","ENSMUSG00000031927"
"1700012B09Rik","ENSMUSP00000140908","ENSMUSG00000031927"
"1700012B09Rik","ENSMUSP00000049826","ENSMUSG00000031927"
"1700012P22Rik","ENSMUSP00000030323","ENSMUSG00000028589"
"1700013F07Rik","ENSMUSP00000029485","ENSMUSG00000027886"
"1700013G24Rik","ENSMUSP00000043461","ENSMUSG00000041399"
"1700013H16Rik","ENSMUSP00000063474","ENSMUSG00000054727"
"1700014D04Rik","ENSMUSP00000136424","ENSMUSG00000051054"
"1700014D04Rik","ENSMUSP00000136897","ENSMUSG00000051054"
"1700014D04Rik","ENSMUSP00000052403","ENSMUSG00000051054"
"1700015F17Rik","ENSMUSP00000121859","ENSMUSG00000079666"
"1700015F17Rik","ENSMUSP00000111107","ENSMUSG00000079666"
"1700015F17Rik","ENSMUSP00000122651","ENSMUSG00000079666"
"1700015G11Rik","ENSMUSP00000136157","ENSMUSG00000094445"
"1700015G11Rik","ENSMUSP00000140226","ENSMUSG00000094445"
"1700015G11Rik","ENSMUSP00000141120","ENSMUSG00000094445"
"1700015G11Rik","ENSMUSP00000141159","ENSMUSG00000094445"
"1700016C15Rik","ENSMUSP00000016106","ENSMUSG00000015962"
