gene_symbol,ensembl_id,expr_val
1110004F10Rik,10090.ENSMUSP00000145989,1.0
1110004F10Rik,10090.ENSMUSP00000032899,1.0
1110004F10Rik,10090.ENSMUSP00000102219,1.0
1110004F10Rik,10090.ENSMUSP00000146007,1.0
1110004F10Rik,10090.ENSMUSP00000102218,1.0
1110004F10Rik,10090.ENSMUSP00000116035,1.0
1110038F14Rik,10090.ENSMUSP00000071698,1.0
1110038F14Rik,10090.ENSMUSP00000154907,1.0
1110038F14Rik,10090.ENSMUSP00000155387,1.0
4930523C07Rik,10090.ENSMUSP00000137410,2.0
4930523C07Rik,10090.ENSMUSP00000156718,2.0
4932438A13Rik,10090.ENSMUSP00000060199,1.0
4932438A13Rik,10090.ENSMUSP00000121356,1.0
4932438A13Rik,10090.ENSMUSP00000117809,1.0
4932438A13Rik,10090.ENSMUSP00000118366,1.0
4932438A13Rik,10090.ENSMUSP00000117814,1.0
4932438A13Rik,10090.ENSMUSP00000116345,1.0
4932438A13Rik,10090.ENSMUSP00000118092,1.0
4932438A13Rik,10090.ENSMUSP00000117808,1.0
4932438A13Rik,10090.ENSMUSP00000148720,1.0
9930021J03Rik,10090.ENSMUSP00000135031,1.0
9930021J03Rik,10090.ENSMUSP00000135025,1.0
9930021J03Rik,10090.ENSMUSP00000135696,1.0
9930021J03Rik,10090.ENSMUSP00000135473,1.0
Aars,10090.ENSMUSP00000122388,1.0
Aars,10090.ENSMUSP00000034441,1.0
Abcf2,10090.ENSMUSP00000030795,1.0
Abcg1,10090.ENSMUSP00000157940,1.0
Abcg1,10090.ENSMUSP00000024829,1.0
Abcg1,10090.ENSMUSP00000157735,1.0
Abcg1,10090.ENSMUSP00000157670,1.0
Actb,10090.ENSMUSP00000132135,6.0
Actb,10090.ENSMUSP00000130611,6.0
Actb,10090.ENSMUSP00000098066,6.0
Actb,10090.ENSMUSP00000101823,6.0
Actb,10090.ENSMUSP00000127663,6.0
Actg1,10090.ENSMUSP00000134070,6.0
Actg1,10090.ENSMUSP00000071486,6.0
Actg1,10090.ENSMUSP00000134296,6.0
Actg1,10090.ENSMUSP00000101821,6.0
Actg1,10090.ENSMUSP00000087043,6.0
Actg1,10090.ENSMUSP00000101822,6.0
Actr2,10090.ENSMUSP00000000137,1.0
Actr3,10090.ENSMUSP00000139674,1.0
Actr3,10090.ENSMUSP00000139886,1.0
Actr3,10090.ENSMUSP00000140082,1.0
Actr3,10090.ENSMUSP00000140953,1.0
Actr3,10090.ENSMUSP00000140000,1.0
Actr3,10090.ENSMUSP00000027579,1.0
Actr3,10090.ENSMUSP00000137503,1.0
Actr3,10090.ENSMUSP00000140535,1.0
Adat2,10090.ENSMUSP00000019944,1.0
Ado,10090.ENSMUSP00000154862,1.0
Ado,10090.ENSMUSP00000075107,1.0
Adrb2,10090.ENSMUSP00000062256,1.0
Aff1,10090.ENSMUSP00000059744,1.0
Aff1,10090.ENSMUSP00000119631,1.0
Aff1,10090.ENSMUSP00000031256,1.0
Ahcyl1,10090.ENSMUSP00000029490,1.0
Ahcyl1,10090.ENSMUSP00000121510,1.0
Ahcyl1,10090.ENSMUSP00000117909,1.0
Ak2,10090.ENSMUSP00000122284,1.0
Ak2,10090.ENSMUSP00000099664,1.0
Ak2,10090.ENSMUSP00000030583,1.0
Akap13,10090.ENSMUSP00000146779,2.0
Akap13,10090.ENSMUSP00000147237,2.0
Akap13,10090.ENSMUSP00000146990,2.0
Akap13,10090.ENSMUSP00000146401,2.0
Akap13,10090.ENSMUSP00000146503,2.0
Akap13,10090.ENSMUSP00000129784,2.0
Akap9,10090.ENSMUSP00000046129,1.0
Akap9,10090.ENSMUSP00000117209,1.0
Akap9,10090.ENSMUSP00000133522,1.0
Akap9,10090.ENSMUSP00000135836,1.0
Akap9,10090.ENSMUSP00000143327,1.0
Akr1a1,10090.ENSMUSP00000030455,2.0
Akr1a1,10090.ENSMUSP00000114861,2.0
Aldh2,10090.ENSMUSP00000031411,1.0
Aldh2,10090.ENSMUSP00000143034,1.0
Aldh2,10090.ENSMUSP00000123545,1.0
Aldh2,10090.ENSMUSP00000143261,1.0
Aldh2,10090.ENSMUSP00000142906,1.0
Alg11,10090.ENSMUSP00000072382,1.0
Alg11,10090.ENSMUSP00000106365,1.0
Alg11,10090.ENSMUSP00000119161,1.0
Alkbh1,10090.ENSMUSP00000124892,1.0
Alkbh1,10090.ENSMUSP00000140233,1.0
Alkbh1,10090.ENSMUSP00000125372,1.0
Alkbh1,10090.ENSMUSP00000124360,1.0
Alkbh1,10090.ENSMUSP00000124933,1.0
Alkbh1,10090.ENSMUSP00000124691,1.0
Alkbh1,10090.ENSMUSP00000124445,1.0
Alkbh1,10090.ENSMUSP00000124565,1.0
Alkbh5,10090.ENSMUSP00000049116,1.0
Ankrd12,10090.ENSMUSP00000156776,1.0
Ankrd12,10090.ENSMUSP00000156634,1.0
Ankrd12,10090.ENSMUSP00000039035,1.0
Ankrd12,10090.ENSMUSP00000156536,1.0
Ankrd12,10090.ENSMUSP00000114237,1.0
Ankrd12,10090.ENSMUSP00000156436,1.0
Ankrd44,10090.ENSMUSP00000137216,1.0
Ankrd44,10090.ENSMUSP00000136802,1.0
Ankrd44,10090.ENSMUSP00000040327,1.0
Ankrd44,10090.ENSMUSP00000136831,1.0
Ankrd44,10090.ENSMUSP00000137616,1.0
Anp32b,10090.ENSMUSP00000099990,1.0
Anp32e,10090.ENSMUSP00000131777,1.0
Anp32e,10090.ENSMUSP00000129931,1.0
Anp32e,10090.ENSMUSP00000015893,1.0
Anp32e,10090.ENSMUSP00000130599,1.0
Anp32e,10090.ENSMUSP00000132357,1.0
Anp32e,10090.ENSMUSP00000132580,1.0
Anp32e,10090.ENSMUSP00000128483,1.0
Anp32e,10090.ENSMUSP00000142810,1.0
Anp32e,10090.ENSMUSP00000128298,1.0
Antxr2,10090.ENSMUSP00000031281,1.0
Antxr2,10090.ENSMUSP00000142605,1.0
Apobec3,10090.ENSMUSP00000134838,1.0
Apobec3,10090.ENSMUSP00000135079,1.0
Apobec3,10090.ENSMUSP00000135027,1.0
Apobec3,10090.ENSMUSP00000135011,1.0
Apobec3,10090.ENSMUSP00000023054,1.0
Apobec3,10090.ENSMUSP00000135507,1.0
Apobec3,10090.ENSMUSP00000135706,1.0
Apobec3,10090.ENSMUSP00000134938,1.0
Apobec3,10090.ENSMUSP00000155418,1.0
Apobec3,10090.ENSMUSP00000155852,1.0
Apobec3,10090.ENSMUSP00000135502,1.0
Apobec3,10090.ENSMUSP00000135358,1.0
Apobec3,10090.ENSMUSP00000132391,1.0
Apobec3,10090.ENSMUSP00000105249,1.0
Apoe,10090.ENSMUSP00000134622,6.0
Apoe,10090.ENSMUSP00000133447,6.0
Apoe,10090.ENSMUSP00000133359,6.0
Apoe,10090.ENSMUSP00000134160,6.0
Apoe,10090.ENSMUSP00000134429,6.0
Apoe,10090.ENSMUSP00000134558,6.0
Apoe,10090.ENSMUSP00000133302,6.0
Apoe,10090.ENSMUSP00000133371,6.0
Apoe,10090.ENSMUSP00000003066,6.0
Apopt1,10090.ENSMUSP00000038865,1.0
Apopt1,10090.ENSMUSP00000124919,1.0
Apopt1,10090.ENSMUSP00000131169,1.0
Apopt1,10090.ENSMUSP00000125711,1.0
Aprt,10090.ENSMUSP00000148652,2.0
Aprt,10090.ENSMUSP00000006764,2.0
Aprt,10090.ENSMUSP00000148477,2.0
Aprt,10090.ENSMUSP00000148745,2.0
Aprt,10090.ENSMUSP00000148607,2.0
Aqr,10090.ENSMUSP00000047157,1.0
Aqr,10090.ENSMUSP00000099602,1.0
Arf1,10090.ENSMUSP00000079905,1.0
Arf1,10090.ENSMUSP00000126120,1.0
Arf4,10090.ENSMUSP00000107937,1.0
Arf4,10090.ENSMUSP00000022429,1.0
Arf4,10090.ENSMUSP00000155713,1.0
Arf4,10090.ENSMUSP00000132159,1.0
Arf4,10090.ENSMUSP00000154967,1.0
Arf4,10090.ENSMUSP00000155146,1.0
Arf4,10090.ENSMUSP00000155132,1.0
Arf4,10090.ENSMUSP00000127272,1.0
Arf5,10090.ENSMUSP00000127281,2.0
