gene_symbol,ensembl_id,expr_val
1110004F10Rik,10090.ENSMUSP00000145989,2.0
1110004F10Rik,10090.ENSMUSP00000032899,2.0
1110004F10Rik,10090.ENSMUSP00000102219,2.0
1110004F10Rik,10090.ENSMUSP00000146007,2.0
1110004F10Rik,10090.ENSMUSP00000102218,2.0
1110004F10Rik,10090.ENSMUSP00000116035,2.0
1190002N15Rik,10090.ENSMUSP00000108651,2.0
1700025G04Rik,10090.ENSMUSP00000113971,1.0
1700025G04Rik,10090.ENSMUSP00000140950,1.0
1700025G04Rik,10090.ENSMUSP00000036406,1.0
1810013L24Rik,10090.ENSMUSP00000023150,1.0
1810013L24Rik,10090.ENSMUSP00000155131,1.0
1810022K09Rik,10090.ENSMUSP00000139401,1.0
1810022K09Rik,10090.ENSMUSP00000104002,1.0
1810022K09Rik,10090.ENSMUSP00000139464,1.0
1810022K09Rik,10090.ENSMUSP00000139512,1.0
2210016L21Rik,10090.ENSMUSP00000031538,1.0
2210016L21Rik,10090.ENSMUSP00000135781,1.0
2210016L21Rik,10090.ENSMUSP00000114697,1.0
2300009A05Rik,10090.ENSMUSP00000127596,1.0
2310009B15Rik,10090.ENSMUSP00000141565,1.0
2310009B15Rik,10090.ENSMUSP00000107656,1.0
2310039H08Rik,10090.ENSMUSP00000071378,1.0
2410015M20Rik,10090.ENSMUSP00000052908,1.0
2700081O15Rik,10090.ENSMUSP00000123773,1.0
2700081O15Rik,10090.ENSMUSP00000124442,1.0
2700081O15Rik,10090.ENSMUSP00000140369,1.0
2700081O15Rik,10090.ENSMUSP00000139847,1.0
2810004N23Rik,10090.ENSMUSP00000034465,1.0
4930523C07Rik,10090.ENSMUSP00000137410,4.0
4930523C07Rik,10090.ENSMUSP00000156718,4.0
4931406P16Rik,10090.ENSMUSP00000145762,1.0
4931406P16Rik,10090.ENSMUSP00000082730,1.0
4931406P16Rik,10090.ENSMUSP00000103709,1.0
4931406P16Rik,10090.ENSMUSP00000145897,1.0
5031439G07Rik,10090.ENSMUSP00000037011,1.0
5031439G07Rik,10090.ENSMUSP00000128699,1.0
9530068E07Rik,10090.ENSMUSP00000048441,2.0
9530068E07Rik,10090.ENSMUSP00000104685,2.0
A230050P20Rik,10090.ENSMUSP00000045384,2.0
AI413582,10090.ENSMUSP00000116199,1.0
AI413582,10090.ENSMUSP00000156342,1.0
AI413582,10090.ENSMUSP00000156204,1.0
AI413582,10090.ENSMUSP00000079081,1.0
AI413582,10090.ENSMUSP00000156360,1.0
AI413582,10090.ENSMUSP00000156249,1.0
AI413582,10090.ENSMUSP00000156365,1.0
AW551984,10090.ENSMUSP00000042582,1.0
AW551984,10090.ENSMUSP00000113212,1.0
AW551984,10090.ENSMUSP00000117328,1.0
AW551984,10090.ENSMUSP00000117262,1.0
Aacs,10090.ENSMUSP00000031445,2.0
Aamp,10090.ENSMUSP00000006462,1.0
Aamp,10090.ENSMUSP00000139411,1.0
Aamp,10090.ENSMUSP00000140427,1.0
Aamp,10090.ENSMUSP00000136644,1.0
Abcf1,10090.ENSMUSP00000134716,1.0
Abcf1,10090.ENSMUSP00000134092,1.0
Abcf1,10090.ENSMUSP00000036881,1.0
Abhd14b,10090.ENSMUSP00000150885,1.0
Abhd14b,10090.ENSMUSP00000140279,1.0
Abhd14b,10090.ENSMUSP00000141151,1.0
Abhd14b,10090.ENSMUSP00000139760,1.0
Abhd14b,10090.ENSMUSP00000139597,1.0
Abhd14b,10090.ENSMUSP00000038755,1.0
Abhd14b,10090.ENSMUSP00000140655,1.0
Abhd14b,10090.ENSMUSP00000150948,1.0
Abhd14b,10090.ENSMUSP00000149469,1.0
Abhd14b,10090.ENSMUSP00000149694,1.0
Abhd17b,10090.ENSMUSP00000056099,1.0
Abhd17b,10090.ENSMUSP00000158374,1.0
Abhd5,10090.ENSMUSP00000122939,3.0
Abhd5,10090.ENSMUSP00000135807,3.0
Abhd5,10090.ENSMUSP00000107123,3.0
