gene_symbol,ensembl_id,expr_val
0610009B22Rik,10090.ENSMUSP00000104726,1.0
0610009B22Rik,10090.ENSMUSP00000007921,1.0
0610037L13Rik,10090.ENSMUSP00000102338,1.0
0610037L13Rik,10090.ENSMUSP00000117717,1.0
0610037L13Rik,10090.ENSMUSP00000115797,1.0
0610037L13Rik,10090.ENSMUSP00000119565,1.0
0610037L13Rik,10090.ENSMUSP00000102337,1.0
0610037L13Rik,10090.ENSMUSP00000113866,1.0
0610037L13Rik,10090.ENSMUSP00000113991,1.0
0610037L13Rik,10090.ENSMUSP00000114234,1.0
0610037L13Rik,10090.ENSMUSP00000119309,1.0
1600012H06Rik,10090.ENSMUSP00000093344,1.0
1600012H06Rik,10090.ENSMUSP00000125970,1.0
1600012H06Rik,10090.ENSMUSP00000133628,1.0
1700017B05Rik,10090.ENSMUSP00000034846,3.0
1700017B05Rik,10090.ENSMUSP00000149643,3.0
1700017B05Rik,10090.ENSMUSP00000150452,3.0
1700017B05Rik,10090.ENSMUSP00000150884,3.0
1700025G04Rik,10090.ENSMUSP00000113971,1.0
1700025G04Rik,10090.ENSMUSP00000140950,1.0
1700025G04Rik,10090.ENSMUSP00000036406,1.0
1700037H04Rik,10090.ENSMUSP00000115000,1.0
1700037H04Rik,10090.ENSMUSP00000028800,1.0
1700037H04Rik,10090.ENSMUSP00000138853,1.0
1700037H04Rik,10090.ENSMUSP00000099477,1.0
1700037H04Rik,10090.ENSMUSP00000139314,1.0
1700123O20Rik,10090.ENSMUSP00000047702,2.0
1700123O20Rik,10090.ENSMUSP00000153947,2.0
1700123O20Rik,10090.ENSMUSP00000154271,2.0
1810022K09Rik,10090.ENSMUSP00000139401,2.0
1810022K09Rik,10090.ENSMUSP00000104002,2.0
1810022K09Rik,10090.ENSMUSP00000139464,2.0
1810022K09Rik,10090.ENSMUSP00000139512,2.0
2310011J03Rik,10090.ENSMUSP00000020341,1.0
2310022A10Rik,10090.ENSMUSP00000139423,1.0
2310022A10Rik,10090.ENSMUSP00000139696,1.0
2310022A10Rik,10090.ENSMUSP00000141195,1.0
2310022A10Rik,10090.ENSMUSP00000140651,1.0
2310022A10Rik,10090.ENSMUSP00000066803,1.0
2310039H08Rik,10090.ENSMUSP00000071378,1.0
2410015M20Rik,10090.ENSMUSP00000052908,2.0
2510039O18Rik,10090.ENSMUSP00000099522,1.0
2610002M06Rik,10090.ENSMUSP00000113588,1.0
2610507B11Rik,10090.ENSMUSP00000010421,1.0
2610507B11Rik,10090.ENSMUSP00000119105,1.0
4930453N24Rik,10090.ENSMUSP00000076255,1.0
6430548M08Rik,10090.ENSMUSP00000104576,2.0
6430548M08Rik,10090.ENSMUSP00000104578,2.0
6430548M08Rik,10090.ENSMUSP00000117269,2.0
6430548M08Rik,10090.ENSMUSP00000114976,2.0
6430548M08Rik,10090.ENSMUSP00000104579,2.0
6430548M08Rik,10090.ENSMUSP00000034281,2.0
6430550D23Rik,10090.ENSMUSP00000120293,1.0
6430550D23Rik,10090.ENSMUSP00000115643,1.0
6430550D23Rik,10090.ENSMUSP00000116229,1.0
6430550D23Rik,10090.ENSMUSP00000118982,1.0
6430550D23Rik,10090.ENSMUSP00000105246,1.0
6430550D23Rik,10090.ENSMUSP00000115694,1.0
6430550D23Rik,10090.ENSMUSP00000114957,1.0
6430550D23Rik,10090.ENSMUSP00000083314,1.0
9030025P20Rik,10090.ENSMUSP00000060857,1.0
9130401M01Rik,10090.ENSMUSP00000155280,1.0
9130401M01Rik,10090.ENSMUSP00000155443,1.0
9130401M01Rik,10090.ENSMUSP00000155561,1.0
9130401M01Rik,10090.ENSMUSP00000098220,1.0
9130401M01Rik,10090.ENSMUSP00000141147,1.0
9130401M01Rik,10090.ENSMUSP00000140805,1.0
9430038I01Rik,10090.ENSMUSP00000112892,1.0
9430038I01Rik,10090.ENSMUSP00000070550,1.0
9430038I01Rik,10090.ENSMUSP00000112956,1.0
9530068E07Rik,10090.ENSMUSP00000048441,1.0
9530068E07Rik,10090.ENSMUSP00000104685,1.0
AA467197,10090.ENSMUSP00000117197,2.0
AA467197,10090.ENSMUSP00000040781,2.0
AA467197,10090.ENSMUSP00000106141,2.0
AA467197,10090.ENSMUSP00000150109,2.0
AA467197,10090.ENSMUSP00000148981,2.0
AA467197,10090.ENSMUSP00000150944,2.0
Aaed1,10090.ENSMUSP00000152675,1.0
Aaed1,10090.ENSMUSP00000152323,1.0
Aaed1,10090.ENSMUSP00000152062,1.0
Aaed1,10090.ENSMUSP00000021938,1.0
Aaed1,10090.ENSMUSP00000152238,1.0
Aamp,10090.ENSMUSP00000006462,4.0
Aamp,10090.ENSMUSP00000139411,4.0
Aamp,10090.ENSMUSP00000140427,4.0
Aamp,10090.ENSMUSP00000136644,4.0
Aar2,10090.ENSMUSP00000114728,1.0
Aar2,10090.ENSMUSP00000105198,1.0
Aar2,10090.ENSMUSP00000118090,1.0
Aar2,10090.ENSMUSP00000029158,1.0
Abca1,10090.ENSMUSP00000030010,4.0
Abcc1,10090.ENSMUSP00000116726,2.0
Abcc1,10090.ENSMUSP00000116714,2.0
Abcc1,10090.ENSMUSP00000097743,2.0
Abcc1,10090.ENSMUSP00000115627,2.0
Abcc1,10090.ENSMUSP00000115763,2.0
Abcc1,10090.ENSMUSP00000122656,2.0
Abcc1,10090.ENSMUSP00000120933,2.0
Abcf1,10090.ENSMUSP00000134716,2.0
Abcf1,10090.ENSMUSP00000134092,2.0
Abcf1,10090.ENSMUSP00000036881,2.0
Abcf2,10090.ENSMUSP00000030795,1.0
Abhd13,10090.ENSMUSP00000116130,2.0
Abhd13,10090.ENSMUSP00000036730,2.0
Abhd17a,10090.ENSMUSP00000140424,1.0
Abhd17a,10090.ENSMUSP00000003436,1.0
Abhd17a,10090.ENSMUSP00000141177,1.0
Abhd17a,10090.ENSMUSP00000139766,1.0
Abhd17b,10090.ENSMUSP00000056099,2.0
Abhd17b,10090.ENSMUSP00000158374,2.0
Abhd17c,10090.ENSMUSP00000112988,1.0
Abhd5,10090.ENSMUSP00000122939,1.0
Abhd5,10090.ENSMUSP00000135807,1.0
Abhd5,10090.ENSMUSP00000107123,1.0
Abhd5,10090.ENSMUSP00000122274,1.0
Abhd5,10090.ENSMUSP00000135538,1.0
Abi1,10090.ENSMUSP00000116093,2.0
Abi1,10090.ENSMUSP00000090860,2.0
Abi1,10090.ENSMUSP00000077997,2.0
Abi1,10090.ENSMUSP00000120462,2.0
Abi1,10090.ENSMUSP00000117335,2.0
Abi1,10090.ENSMUSP00000118491,2.0
Abi1,10090.ENSMUSP00000120621,2.0
Abi1,10090.ENSMUSP00000136846,2.0
Abi1,10090.ENSMUSP00000120769,2.0
Abi1,10090.ENSMUSP00000110191,2.0
Abi1,10090.ENSMUSP00000088957,2.0
Abr,10090.ENSMUSP00000104045,2.0
Abr,10090.ENSMUSP00000072522,2.0
Abr,10090.ENSMUSP00000104044,2.0
Abr,10090.ENSMUSP00000135691,2.0
