gene_symbol,ensembl_id,expr_val
1110038F14Rik,10090.ENSMUSP00000071698,1.0
1110038F14Rik,10090.ENSMUSP00000154907,1.0
1110038F14Rik,10090.ENSMUSP00000155387,1.0
1700017B05Rik,10090.ENSMUSP00000034846,1.0
1700017B05Rik,10090.ENSMUSP00000149643,1.0
1700017B05Rik,10090.ENSMUSP00000150452,1.0
1700017B05Rik,10090.ENSMUSP00000150884,1.0
1810037I17Rik,10090.ENSMUSP00000102037,1.0
2310009B15Rik,10090.ENSMUSP00000141565,1.0
2310009B15Rik,10090.ENSMUSP00000107656,1.0
2310022A10Rik,10090.ENSMUSP00000139423,1.0
2310022A10Rik,10090.ENSMUSP00000139696,1.0
2310022A10Rik,10090.ENSMUSP00000141195,1.0
2310022A10Rik,10090.ENSMUSP00000140651,1.0
2310022A10Rik,10090.ENSMUSP00000066803,1.0
2510009E07Rik,10090.ENSMUSP00000062303,2.0
2510009E07Rik,10090.ENSMUSP00000156243,2.0
2510009E07Rik,10090.ENSMUSP00000156099,2.0
2510009E07Rik,10090.ENSMUSP00000156172,2.0
2510039O18Rik,10090.ENSMUSP00000099522,2.0
4833439L19Rik,10090.ENSMUSP00000121916,2.0
4833439L19Rik,10090.ENSMUSP00000120615,2.0
4833439L19Rik,10090.ENSMUSP00000026989,2.0
4833439L19Rik,10090.ENSMUSP00000119874,2.0
4833439L19Rik,10090.ENSMUSP00000121083,2.0
5031439G07Rik,10090.ENSMUSP00000037011,2.0
5031439G07Rik,10090.ENSMUSP00000128699,2.0
AA467197,10090.ENSMUSP00000117197,6.0
AA467197,10090.ENSMUSP00000040781,6.0
AA467197,10090.ENSMUSP00000106141,6.0
AA467197,10090.ENSMUSP00000150109,6.0
AA467197,10090.ENSMUSP00000148981,6.0
AA467197,10090.ENSMUSP00000150944,6.0
AB124611,10090.ENSMUSP00000075665,1.0
AB124611,10090.ENSMUSP00000083547,1.0
AB124611,10090.ENSMUSP00000134056,1.0
AW549877,10090.ENSMUSP00000038476,1.0
Aars,10090.ENSMUSP00000122388,1.0
Aars,10090.ENSMUSP00000034441,1.0
Abca1,10090.ENSMUSP00000030010,1.0
Abca7,10090.ENSMUSP00000115111,1.0
Abca7,10090.ENSMUSP00000128121,1.0
Abca7,10090.ENSMUSP00000043090,1.0
Abcc3,10090.ENSMUSP00000021231,1.0
Abcc3,10090.ENSMUSP00000136343,1.0
Abcf1,10090.ENSMUSP00000134716,1.0
Abcf1,10090.ENSMUSP00000134092,1.0
Abcf1,10090.ENSMUSP00000036881,1.0
Abcg1,10090.ENSMUSP00000157940,2.0
Abcg1,10090.ENSMUSP00000024829,2.0
Abcg1,10090.ENSMUSP00000157735,2.0
Abcg1,10090.ENSMUSP00000157670,2.0
Abhd4,10090.ENSMUSP00000142423,1.0
Abhd4,10090.ENSMUSP00000137214,1.0
Abhd4,10090.ENSMUSP00000143121,1.0
Abhd4,10090.ENSMUSP00000143600,1.0
Abhd4,10090.ENSMUSP00000142722,1.0
Abhd4,10090.ENSMUSP00000044134,1.0
Abhd4,10090.ENSMUSP00000142607,1.0
Abr,10090.ENSMUSP00000104045,1.0
Abr,10090.ENSMUSP00000072522,1.0
Abr,10090.ENSMUSP00000104044,1.0
Abr,10090.ENSMUSP00000135691,1.0
Abr,10090.ENSMUSP00000122614,1.0
Abr,10090.ENSMUSP00000135174,1.0
Abr,10090.ENSMUSP00000135515,1.0
Abr,10090.ENSMUSP00000068982,1.0
Abr,10090.ENSMUSP00000135544,1.0
Abr,10090.ENSMUSP00000091551,1.0
Abracl,10090.ENSMUSP00000151461,1.0
Abracl,10090.ENSMUSP00000151841,1.0
Abracl,10090.ENSMUSP00000151794,1.0
Abracl,10090.ENSMUSP00000020002,1.0
Acbd3,10090.ENSMUSP00000027780,1.0
Ace,10090.ENSMUSP00000001964,2.0
Ace,10090.ENSMUSP00000119826,2.0
Ace,10090.ENSMUSP00000001963,2.0
