gene_symbol,ensembl_id,expr_val
0610012G03Rik,10090.ENSMUSP00000143811,2.0
1700025G04Rik,10090.ENSMUSP00000113971,1.0
1700025G04Rik,10090.ENSMUSP00000140950,1.0
1700025G04Rik,10090.ENSMUSP00000036406,1.0
1810037I17Rik,10090.ENSMUSP00000102037,1.0
2010111I01Rik,10090.ENSMUSP00000152666,1.0
2010111I01Rik,10090.ENSMUSP00000021911,1.0
2010111I01Rik,10090.ENSMUSP00000152578,1.0
2010111I01Rik,10090.ENSMUSP00000152296,1.0
2010111I01Rik,10090.ENSMUSP00000152622,1.0
2010111I01Rik,10090.ENSMUSP00000089148,1.0
2010111I01Rik,10090.ENSMUSP00000152277,1.0
2010111I01Rik,10090.ENSMUSP00000152404,1.0
2010111I01Rik,10090.ENSMUSP00000124560,1.0
2010111I01Rik,10090.ENSMUSP00000152100,1.0
2010111I01Rik,10090.ENSMUSP00000152528,1.0
2310011J03Rik,10090.ENSMUSP00000020341,1.0
2410015M20Rik,10090.ENSMUSP00000052908,1.0
2510039O18Rik,10090.ENSMUSP00000099522,3.0
2610001J05Rik,10090.ENSMUSP00000120110,3.0
2610001J05Rik,10090.ENSMUSP00000116702,3.0
2610001J05Rik,10090.ENSMUSP00000140155,3.0
2610001J05Rik,10090.ENSMUSP00000139650,3.0
3830406C13Rik,10090.ENSMUSP00000153402,1.0
3830406C13Rik,10090.ENSMUSP00000108288,1.0
3830406C13Rik,10090.ENSMUSP00000153287,1.0
3830406C13Rik,10090.ENSMUSP00000153288,1.0
3830406C13Rik,10090.ENSMUSP00000153430,1.0
3830406C13Rik,10090.ENSMUSP00000153588,1.0
3830406C13Rik,10090.ENSMUSP00000153352,1.0
3830406C13Rik,10090.ENSMUSP00000153272,1.0
3830406C13Rik,10090.ENSMUSP00000153106,1.0
3830406C13Rik,10090.ENSMUSP00000126960,1.0
3830406C13Rik,10090.ENSMUSP00000153505,1.0
3830406C13Rik,10090.ENSMUSP00000153330,1.0
4931406P16Rik,10090.ENSMUSP00000145762,1.0
4931406P16Rik,10090.ENSMUSP00000082730,1.0
4931406P16Rik,10090.ENSMUSP00000103709,1.0
4931406P16Rik,10090.ENSMUSP00000145897,1.0
4933434E20Rik,10090.ENSMUSP00000124554,1.0
4933434E20Rik,10090.ENSMUSP00000124028,1.0
4933434E20Rik,10090.ENSMUSP00000029552,1.0
4933434E20Rik,10090.ENSMUSP00000029551,1.0
4933434E20Rik,10090.ENSMUSP00000124822,1.0
4933434E20Rik,10090.ENSMUSP00000066840,1.0
4933434E20Rik,10090.ENSMUSP00000123740,1.0
9530068E07Rik,10090.ENSMUSP00000048441,1.0
9530068E07Rik,10090.ENSMUSP00000104685,1.0
AI413582,10090.ENSMUSP00000116199,1.0
AI413582,10090.ENSMUSP00000156342,1.0
AI413582,10090.ENSMUSP00000156204,1.0
AI413582,10090.ENSMUSP00000079081,1.0
