nodelist,edgelist,num_nodes,num_edges,giulia_spatial_entropy,runtime
../network_data/partek_myod_postnatal/partek_myod_postnatal_2391_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_2391_edgelist.csv,1965,144747,303304.9954861923,6.886293888092041
../network_data/partek_myod_postnatal/partek_myod_postnatal_1384_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_1384_edgelist.csv,4302,502442,1234131.373358899,38.83578896522522
../network_data/partek_myod_postnatal/partek_myod_postnatal_704_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_704_edgelist.csv,987,48473,88254.67217437345,1.7310049533843994
../network_data/partek_myod_postnatal/partek_myod_postnatal_1925_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_1925_edgelist.csv,1561,99220,194141.9479834336,4.598935127258301
../network_data/partek_myod_postnatal/partek_myod_postnatal_7130_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_7130_edgelist.csv,2304,213440,435949.0997855072,10.993705034255981
../network_data/partek_myod_postnatal/partek_myod_postnatal_3670_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_3670_edgelist.csv,1820,117998,218611.1749405353,6.24365496635437
../network_data/partek_myod_postnatal/partek_myod_postnatal_4201_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_4201_edgelist.csv,4631,623641,1565257.3737112128,46.470280170440674
../network_data/partek_myod_postnatal/partek_myod_postnatal_3300_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_3300_edgelist.csv,1069,43591,86691.77015071639,2.1025760173797607
../network_data/partek_myod_postnatal/partek_myod_postnatal_4801_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_4801_edgelist.csv,2795,272321,570071.4014387783,16.865600109100342
../network_data/partek_myod_postnatal/partek_myod_postnatal_3476_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_3476_edgelist.csv,4017,525132,1281535.0081411344,34.24450612068176
../network_data/partek_myod_postnatal/partek_myod_postnatal_2544_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_2544_edgelist.csv,2384,223190,470963.91167223547,11.785742998123169
../network_data/partek_myod_postnatal/partek_myod_postnatal_5091_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_5091_edgelist.csv,3544,385312,887348.9611960682,25.80041480064392
../network_data/partek_myod_postnatal/partek_myod_postnatal_798_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_798_edgelist.csv,3857,458359,1052560.1510011817,31.328325033187866
../network_data/partek_myod_postnatal/partek_myod_postnatal_6304_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_6304_edgelist.csv,2937,297788,613414.4453271814,18.769393920898438
../network_data/partek_myod_postnatal/partek_myod_postnatal_1657_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_1657_edgelist.csv,3347,371650,829344.3660856636,22.953049898147583
../network_data/partek_myod_postnatal/partek_myod_postnatal_1391_nodelist.csv,../network_data/partek_myod_postnatal/partek_myod_postnatal_1391_edgelist.csv,1648,107312,212875.14293503447,4.764863014221191
