10090.ENSMUSP00000130892,1.0
10090.ENSMUSP00000113971,1.0
10090.ENSMUSP00000139512,2.0
10090.ENSMUSP00000102037,1.0
10090.ENSMUSP00000031538,1.0
10090.ENSMUSP00000066803,1.0
10090.ENSMUSP00000052908,1.0
10090.ENSMUSP00000010421,1.0
10090.ENSMUSP00000153588,1.0
10090.ENSMUSP00000040975,1.0
10090.ENSMUSP00000156718,1.0
10090.ENSMUSP00000104578,1.0
10090.ENSMUSP00000117197,3.0
10090.ENSMUSP00000122388,3.0
10090.ENSMUSP00000083547,5.0
10090.ENSMUSP00000113538,1.0
10090.ENSMUSP00000036338,1.0
10090.ENSMUSP00000115627,1.0
10090.ENSMUSP00000042186,2.0
10090.ENSMUSP00000079379,1.0
10090.ENSMUSP00000036881,1.0
10090.ENSMUSP00000156056,1.0
10090.ENSMUSP00000144595,1.0
10090.ENSMUSP00000056099,1.0
10090.ENSMUSP00000133381,1.0
10090.ENSMUSP00000020002,2.0
10090.ENSMUSP00000110172,1.0
10090.ENSMUSP00000079035,1.0
10090.ENSMUSP00000114546,1.0
10090.ENSMUSP00000138519,1.0
10090.ENSMUSP00000099453,1.0
10090.ENSMUSP00000046585,1.0
10090.ENSMUSP00000048218,1.0
10090.ENSMUSP00000132135,105.0
10090.ENSMUSP00000134070,61.0
10090.ENSMUSP00000000137,1.0
10090.ENSMUSP00000137503,3.0
10090.ENSMUSP00000152334,1.0
10090.ENSMUSP00000122998,1.0
10090.ENSMUSP00000067953,2.0
10090.ENSMUSP00000128220,8.0
10090.ENSMUSP00000043055,1.0
10090.ENSMUSP00000126138,1.0
10090.ENSMUSP00000002923,1.0
10090.ENSMUSP00000136572,1.0
10090.ENSMUSP00000059744,1.0
10090.ENSMUSP00000001520,1.0
10090.ENSMUSP00000121612,1.0
10090.ENSMUSP00000140678,1.0
10090.ENSMUSP00000042207,1.0
10090.ENSMUSP00000127477,2.0
10090.ENSMUSP00000128589,1.0
10090.ENSMUSP00000030865,1.0
10090.ENSMUSP00000090632,9.0
10090.ENSMUSP00000112137,2.0
10090.ENSMUSP00000105268,1.0
10090.ENSMUSP00000156365,1.0
10090.ENSMUSP00000029663,1.0
10090.ENSMUSP00000051389,1.0
10090.ENSMUSP00000146779,4.0
10090.ENSMUSP00000041614,1.0
10090.ENSMUSP00000030455,2.0
10090.ENSMUSP00000117119,3.0
10090.ENSMUSP00000108143,1.0
10090.ENSMUSP00000130563,1.0
10090.ENSMUSP00000056276,1.0
10090.ENSMUSP00000146060,1.5
10090.ENSMUSP00000123711,1.0
10090.ENSMUSP00000038721,1.0
10090.ENSMUSP00000144472,3.0
10090.ENSMUSP00000026125,1.0
10090.ENSMUSP00000135504,1.0
10090.ENSMUSP00000020929,1.0
10090.ENSMUSP00000139762,1.0
10090.ENSMUSP00000027947,1.0
10090.ENSMUSP00000123270,2.0
10090.ENSMUSP00000133977,4.0
10090.ENSMUSP00000143432,1.0
10090.ENSMUSP00000142575,6.0
10090.ENSMUSP00000099990,2.0
10090.ENSMUSP00000129931,1.0
10090.ENSMUSP00000142605,1.0
10090.ENSMUSP00000158429,6.0
10090.ENSMUSP00000117855,21.0
10090.ENSMUSP00000029266,2.0
10090.ENSMUSP00000104511,1.0
10090.ENSMUSP00000066035,2.0
10090.ENSMUSP00000107983,1.0
10090.ENSMUSP00000103489,1.0
10090.ENSMUSP00000007216,1.0
10090.ENSMUSP00000146195,1.0
10090.ENSMUSP00000025357,1.0
10090.ENSMUSP00000124422,2.0
10090.ENSMUSP00000014290,2.0
10090.ENSMUSP00000028617,1.0
10090.ENSMUSP00000149023,2.0
10090.ENSMUSP00000026599,1.0
10090.ENSMUSP00000154401,1.0
10090.ENSMUSP00000124743,1.0
10090.ENSMUSP00000034607,1.0
10090.ENSMUSP00000079905,6.0
10090.ENSMUSP00000102622,1.0
10090.ENSMUSP00000155146,3.0
10090.ENSMUSP00000127281,4.0
10090.ENSMUSP00000028691,1.0
10090.ENSMUSP00000039493,1.0
10090.ENSMUSP00000106962,1.0
10090.ENSMUSP00000059389,2.0
10090.ENSMUSP00000063714,1.0
10090.ENSMUSP00000145103,5.0
10090.ENSMUSP00000095431,1.0
10090.ENSMUSP00000135829,1.0
10090.ENSMUSP00000106162,1.0
10090.ENSMUSP00000110683,1.0
10090.ENSMUSP00000131516,1.0
10090.ENSMUSP00000013338,2.0
10090.ENSMUSP00000114458,4.0
10090.ENSMUSP00000057085,1.0
10090.ENSMUSP00000120178,1.0
