gene_symbol,expr_val,ensembl_id
2010300C02Rik,0.0,10090.ENSMUSP00000125015
2010315B03Rik,0.0,10090.ENSMUSP00000071269
2200002D01Rik,0.0,10090.ENSMUSP00000032808
2200002J24Rik,0.0,10090.ENSMUSP00000013227
2210010C04Rik,0.0,10090.ENSMUSP00000031931
2210011C24Rik,0.0,10090.ENSMUSP00000140135
2210016F16Rik,0.0,10090.ENSMUSP00000022032
2210016L21Rik,0.0,10090.ENSMUSP00000031538
2210407C18Rik,0.0,10090.ENSMUSP00000039283
2210408I21Rik,0.0,10090.ENSMUSP00000127449
2300009A05Rik,0.0,10090.ENSMUSP00000127596
2310002L09Rik,0.0,10090.ENSMUSP00000030101
2310009B15Rik,0.0,10090.ENSMUSP00000141565
2310011J03Rik,0.0,10090.ENSMUSP00000020341
2310022A10Rik,1.0,10090.ENSMUSP00000066803
2310022B05Rik,0.0,10090.ENSMUSP00000034464
2310030G06Rik,0.0,10090.ENSMUSP00000034564
2310033P09Rik,0.0,10090.ENSMUSP00000020719
2310039H08Rik,0.0,10090.ENSMUSP00000071378
2310057M21Rik,0.0,10090.ENSMUSP00000147242
2310061I04Rik,0.0,10090.ENSMUSP00000115771
2410002F23Rik,0.0,10090.ENSMUSP00000117318
2410004B18Rik,0.0,10090.ENSMUSP00000118224
2410004P03Rik,0.0,10090.ENSMUSP00000093503
2410015M20Rik,0.0,10090.ENSMUSP00000052908
2410131K14Rik,0.0,10090.ENSMUSP00000043410
2510002D24Rik,0.0,10090.ENSMUSP00000141071
2510009E07Rik,0.0,10090.ENSMUSP00000062303
2510039O18Rik,1.0,10090.ENSMUSP00000099522
2600006K01Rik,0.0,10090.ENSMUSP00000119476
2610001J05Rik,0.0,10090.ENSMUSP00000120110
2610002M06Rik,0.0,10090.ENSMUSP00000113588
2610008E11Rik,0.0,10090.ENSMUSP00000151709
2610021A01Rik,0.0,10090.ENSMUSP00000146223
2610042L04Rik,0.0,10090.ENSMUSP00000108398
2610044O15Rik8,0.0,10090.ENSMUSP00000140555
2610301B20Rik,0.0,10090.ENSMUSP00000079361
2610318N02Rik,0.0,10090.ENSMUSP00000091026
2610507B11Rik,0.0,10090.ENSMUSP00000010421
2610524H06Rik,0.0,10090.ENSMUSP00000116625
2610528A11Rik,0.0,10090.ENSMUSP00000136426
2700049A03Rik,0.0,10090.ENSMUSP00000118956
2700062C07Rik,0.0,10090.ENSMUSP00000095251
2700081O15Rik,0.0,10090.ENSMUSP00000123773
2700097O09Rik,0.0,10090.ENSMUSP00000021406
2810004N23Rik,0.0,10090.ENSMUSP00000034465
2810006K23Rik,0.0,10090.ENSMUSP00000107102
2810021J22Rik,0.0,10090.ENSMUSP00000073579
2810408A11Rik,0.0,10090.ENSMUSP00000135926
2810459M11Rik,0.0,10090.ENSMUSP00000131459
2900011O08Rik,0.0,10090.ENSMUSP00000112435
2900026A02Rik,0.0,10090.ENSMUSP00000058789
2900055J20Rik,0.0,10090.ENSMUSP00000158332
3110001I22Rik,0.0,10090.ENSMUSP00000041742
3110009E18Rik,0.0,10090.ENSMUSP00000027637
3110040N11Rik,0.0,10090.ENSMUSP00000026092
3110070M22Rik,0.0,10090.ENSMUSP00000096752
3110082I17Rik,0.0,10090.ENSMUSP00000069230
3110082J24Rik,0.0,10090.ENSMUSP00000142756
3300002I08Rik,0.0,10090.ENSMUSP00000055454
3425401B19Rik,0.0,10090.ENSMUSP00000093741
3830403N18Rik,0.0,10090.ENSMUSP00000033458
3830406C13Rik,0.0,10090.ENSMUSP00000153588
3830417A13Rik,0.0,10090.ENSMUSP00000122540
4430402I18Rik,1.0,10090.ENSMUSP00000137486
4833420G17Rik,1.0,10090.ENSMUSP00000153273
4833427G06Rik,0.0,10090.ENSMUSP00000126725
4833439L19Rik,1.0,10090.ENSMUSP00000119874
4921507P07Rik,0.0,10090.ENSMUSP00000031852
4921509C19Rik,0.0,10090.ENSMUSP00000079030
4921517D22Rik,0.0,10090.ENSMUSP00000061773
4921524J17Rik,1.0,10090.ENSMUSP00000040975
4921536K21Rik,0.0,10090.ENSMUSP00000020712
4922502D21Rik,0.0,10090.ENSMUSP00000145310
4930402F06Rik,0.0,10090.ENSMUSP00000108633
4930402H24Rik,0.0,10090.ENSMUSP00000117915
4930404N11Rik,0.0,10090.ENSMUSP00000020456
4930407I10Rik,0.0,10090.ENSMUSP00000097965
4930415O20Rik,0.0,10090.ENSMUSP00000023728
4930426L09Rik,0.0,10090.ENSMUSP00000028069
4930430F08Rik,0.0,10090.ENSMUSP00000062410
4930432K21Rik,0.0,10090.ENSMUSP00000113651
4930438A08Rik,0.0,10090.ENSMUSP00000147249
4930444G20Rik,0.0,10090.ENSMUSP00000097613
4930444P10Rik,0.0,10090.ENSMUSP00000111024
4930447C04Rik,0.0,10090.ENSMUSP00000116391
4930452B06Rik,0.0,10090.ENSMUSP00000100061
4930453N24Rik,0.0,10090.ENSMUSP00000076255
4930474N05Rik,0.0,10090.ENSMUSP00000153709
4930486L24Rik,0.0,10090.ENSMUSP00000089157
4930500M09Rik,0.0,10090.ENSMUSP00000115622
4930502E18Rik,0.0,10090.ENSMUSP00000064619
4930503B20Rik,0.0,10090.ENSMUSP00000114745
4930503L19Rik,0.0,10090.ENSMUSP00000148747
4930505A04Rik,0.0,10090.ENSMUSP00000045288
4930507D05Rik,0.0,10090.ENSMUSP00000137990
4930519G04Rik,0.0,10090.ENSMUSP00000116852
4930522L14Rik,0.0,10090.ENSMUSP00000098497
4930523C07Rik,1.0,10090.ENSMUSP00000156718
4930524B15Rik,0.0,10090.ENSMUSP00000099893
4930539E08Rik,0.0,10090.ENSMUSP00000050646
4930544D05Rik,0.0,10090.ENSMUSP00000136077
4930544G11Rik,0.0,10090.ENSMUSP00000045487
4930548H24Rik,0.0,10090.ENSMUSP00000031020
4930550C14Rik,0.0,10090.ENSMUSP00000150018
4930550L24Rik,0.0,10090.ENSMUSP00000051134
4930555G01Rik,0.0,10090.ENSMUSP00000108390
4930558K02Rik,0.0,10090.ENSMUSP00000124751
4930562C15Rik,0.0,10090.ENSMUSP00000127814
4930578C19Rik,0.0,10090.ENSMUSP00000046567
