gene_symbol,ensembl_id
1500009C09Rik,10090.ENSMUSP00000115748
1500009C09Rik,10090.ENSMUSP00000120070
1500009L16Rik,10090.ENSMUSP00000129542
1500009L16Rik,10090.
1500009L16Rik,10090.ENSMUSP00000151432
1500011B03Rik,10090.ENSMUSP00000098411
1500011B03Rik,10090.
1500011B03Rik,10090.ENSMUSP00000107786
1500011B03Rik,10090.ENSMUSP00000116625
1500011K16Rik,10090.-
1500015A07Rik,10090.
1500015O10Rik,10090.-
1500035N22Rik,10090.-
1520401A03Rik,10090.ENSMUSP00000144664
1520401A03Rik,10090.
1520401A03Rik,10090.ENSMUSP00000144253
1600002K03Rik,10090.ENSMUSP00000037758
1600010M07Rik,10090.
1600012H06Rik,10090.ENSMUSP00000125970
1600012H06Rik,10090.ENSMUSP00000093344
1600012H06Rik,10090.
1600012H06Rik,10090.ENSMUSP00000133628
1600014C10Rik,10090.ENSMUSP00000145884
1600014C10Rik,10090.
1600014C10Rik,10090.ENSMUSP00000145679
1600014C10Rik,10090.ENSMUSP00000145694
1600014C10Rik,10090.ENSMUSP00000130271
1600014C10Rik,10090.ENSMUSP00000146135
1600014C10Rik,10090.ENSMUSP00000137538
1600014C10Rik,10090.ENSMUSP00000146124
1600014C10Rik,10090.ENSMUSP00000070449
1600014C23Rik,10090.
1600014C23Rik,10090.ENSMUSP00000136788
1600020E01Rik,10090.
1700001C19Rik,10090.
1700001C19Rik,10090.ENSMUSP00000155338
1700001C19Rik,10090.ENSMUSP00000155141
1700001C19Rik,10090.ENSMUSP00000072887
1700001C19Rik,10090.ENSMUSP00000050873
1700001J03Rik,10090.ENSMUSP00000073399
1700001J03Rik,10090.
1700001K19Rik,10090.ENSMUSP00000152785
1700001K19Rik,10090.ENSMUSP00000068238
1700001L05Rik,10090.-
1700001L19Rik,10090.ENSMUSP00000152877
1700001L19Rik,10090.ENSMUSP00000022007
1700001P01Rik,10090.ENSMUSP00000103202
1700003E16Rik,10090.ENSMUSP00000032106
1700003E16Rik,10090.ENSMUSP00000145406
1700003F12Rik,10090.ENSMUSP00000105331
1700003F12Rik,10090.ENSMUSP00000035523
1700003F12Rik,10090.
1700003G13Rik,10090.-
1700003I16Rik,10090.-
1700006J14Rik,10090.-
1700007G11Rik,10090.-
1700007K13Rik,10090.
1700007K13Rik,10090.ENSMUSP00000083557
1700007K13Rik,10090.ENSMUSP00000116111
1700008B11Rik,10090.-
1700008J07Rik,10090.
1700008O03Rik,10090.
1700008O03Rik,10090.ENSMUSP00000103566
1700008O03Rik,10090.ENSMUSP00000123280
1700010B08Rik,10090.ENSMUSP00000072830
1700010I14Rik,10090.ENSMUSP00000156573
1700010I14Rik,10090.ENSMUSP00000156914
1700010I14Rik,10090.ENSMUSP00000118841
1700010I14Rik,10090.ENSMUSP00000156639
1700010I14Rik,10090.ENSMUSP00000024650
1700010K24Rik,10090.-
1700011C11Rik,10090.
1700011D18Rik,10090.-
1700011L22Rik,10090.
1700011L22Rik,10090.ENSMUSP00000034109
1700012B07Rik,10090.ENSMUSP00000115395
1700012B07Rik,10090.ENSMUSP00000020941
1700012B07Rik,10090.ENSMUSP00000102285
1700012B09Rik,10090.ENSMUSP00000049826
1700012B09Rik,10090.ENSMUSP00000140908
1700012B09Rik,10090.ENSMUSP00000139796
1700012B09Rik,10090.ENSMUSP00000140386
1700012B09Rik,10090.ENSMUSP00000140756
1700013F07Rik,10090.ENSMUSP00000029485
1700013F07Rik,10090.
1700014D04Rik,10090.ENSMUSP00000136897
1700014D04Rik,10090.ENSMUSP00000136424
1700014D04Rik,10090.ENSMUSP00000052403
1700015F17Rik,10090.ENSMUSP00000122651
1700015F17Rik,10090.ENSMUSP00000111107
1700015F17Rik,10090.ENSMUSP00000121859
1700016D06Rik,10090.ENSMUSP00000139631
1700016D06Rik,10090.ENSMUSP00000033906
1700016D06Rik,10090.ENSMUSP00000140232
1700016D06Rik,10090.
1700016F12Rik,10090.-
1700016G14Rik,10090.-
1700016G22Rik,10090.
1700016H13Rik,10090.ENSMUSP00000122224
1700016H13Rik,10090.ENSMUSP00000031261
1700016H13Rik,10090.ENSMUSP00000118111
1700016H13Rik,10090.ENSMUSP00000113969
1700016H13Rik,10090.ENSMUSP00000114503
1700016H13Rik,10090.ENSMUSP00000113469
1700016H13Rik,10090.ENSMUSP00000113935
1700016K19Rik,10090.ENSMUSP00000063358
1700017B05Rik,10090.
1700017B05Rik,10090.ENSMUSP00000149643
1700017B05Rik,10090.ENSMUSP00000034846
1700017B05Rik,10090.ENSMUSP00000150884
1700017B05Rik,10090.ENSMUSP00000150452
1700017D01Rik,10090.
1700017D01Rik,10090.ENSMUSP00000025635
1700017M07Rik,10090.
1700018A04Rik,10090.
1700018B08Rik,10090.ENSMUSP00000138106
1700018B08Rik,10090.ENSMUSP00000034265
1700018B08Rik,10090.ENSMUSP00000138141
1700018B08Rik,10090.ENSMUSP00000138269
1700018L02Rik,10090.-
1700019A02Rik,10090.ENSMUSP00000072089
1700019A02Rik,10090.ENSMUSP00000139938
1700019D03Rik,10090.ENSMUSP00000110137
1700019D03Rik,10090.ENSMUSP00000110136
1700019D03Rik,10090.ENSMUSP00000140273
1700019D03Rik,10090.ENSMUSP00000140160
1700019D03Rik,10090.ENSMUSP00000139750
1700019D03Rik,10090.ENSMUSP00000140530
1700019D03Rik,10090.ENSMUSP00000055413
1700019L13Rik,10090.-
1700020A23Rik,10090.ENSMUSP00000105910
1700020A23Rik,10090.ENSMUSP00000140511
1700020A23Rik,10090.ENSMUSP00000028898
1700020D05Rik,10090.ENSMUSP00000140922
1700020I14Rik,10090.-
1700020L24Rik,10090.ENSMUSP00000042098
1700020L24Rik,10090.ENSMUSP00000140664
1700020N01Rik,10090.
1700020N01Rik,10090.ENSMUSP00000054237
1700021A07Rik,10090.-
1700021F05Rik,10090.
1700021F05Rik,10090.ENSMUSP00000119053
1700021F13Rik,10090.-
1700022I11Rik,10090.ENSMUSP00000140363
1700022I11Rik,10090.
1700022I11Rik,10090.ENSMUSP00000140492
1700022I11Rik,10090.ENSMUSP00000030163
1700022I11Rik,10090.ENSMUSP00000116415
1700022N22Rik,10090.
1700023F06Rik,10090.ENSMUSP00000139837
1700023F06Rik,10090.ENSMUSP00000021323
1700023F06Rik,10090.ENSMUSP00000134292
1700023F06Rik,10090.
1700023F06Rik,10090.ENSMUSP00000102641
1700025G04Rik,10090.ENSMUSP00000036406
1700025G04Rik,10090.ENSMUSP00000140950
1700025G04Rik,10090.
1700025G04Rik,10090.ENSMUSP00000113971
1700025M24Rik,10090.
1700025N21Rik,10090.-
1700025N23Rik,10090.
1700026D11Rik,10090.
1700027A15Rik,10090.
1700027F06Rik,10090.-
1700027J07Rik,10090.
1700028I16Rik,10090.
1700028J19Rik,10090.ENSMUSP00000048665
1700028J19Rik,10090.ENSMUSP00000158557
1700028J19Rik,10090.ENSMUSP00000145629
1700028J19Rik,10090.ENSMUSP00000157693
1700028J19Rik,10090.ENSMUSP00000145781
1700028J19Rik,10090.
1700028K03Rik,10090.ENSMUSP00000058373
1700028K03Rik,10090.ENSMUSP00000124574
1700028K03Rik,10090.
1700029I15Rik,10090.ENSMUSP00000140421
1700029I15Rik,10090.
1700029I15Rik,10090.ENSMUSP00000051464
1700029I15Rik,10090.ENSMUSP00000106911
1700029J03Rik,10090.
1700029J07Rik,10090.ENSMUSP00000092961
1700029J07Rik,10090.ENSMUSP00000096383
1700030E10Rik,10090.-
1700030J22Rik,10090.ENSMUSP00000148789
1700030J22Rik,10090.ENSMUSP00000070601
1700030K09Rik,10090.ENSMUSP00000113279
1700030K09Rik,10090.ENSMUSP00000063244
1700030K09Rik,10090.
1700034H15Rik,10090.
1700034I23Rik,10090.ENSMUSP00000141045
1700034P13Rik,10090.-
1700036A12Rik,10090.-
1700037C18Rik,10090.ENSMUSP00000134800
1700037C18Rik,10090.ENSMUSP00000135233
1700037C18Rik,10090.ENSMUSP00000006139
1700037C18Rik,10090.ENSMUSP00000135766
1700037C18Rik,10090.
1700037C18Rik,10090.ENSMUSP00000111525
1700037H04Rik,10090.ENSMUSP00000028800
1700037H04Rik,10090.ENSMUSP00000138853
1700037H04Rik,10090.ENSMUSP00000115000
1700037H04Rik,10090.ENSMUSP00000099477
1700037H04Rik,10090.
1700037H04Rik,10090.ENSMUSP00000139314
1700039M15Rik,10090.-
1700040F17Rik,10090.-
1700041G16Rik,10090.-
1700042O10Rik,10090.
1700047G03Rik,10090.
1700047I17Rik2,10090.ENSMUSP00000137377
1700047M11Rik,10090.
1700048O20Rik,10090.
1700049J03Rik,10090.-
1700052I22Rik,10090.
1700052K11Rik,10090.-
1700054M17Rik,10090.
1700055D18Rik,10090.-
1700056E22Rik,10090.
1700056E22Rik,10090.ENSMUSP00000055787
1700056N10Rik,10090.-
1700057G04Rik,10090.
1700057G04Rik,10090.ENSMUSP00000096077
1700057G04Rik,10090.ENSMUSP00000117673
1700057G04Rik,10090.ENSMUSP00000139734
1700057G04Rik,10090.ENSMUSP00000140686
1700058P15Rik,10090.-
1700061E18Rik,10090.-
1700061G19Rik,10090.ENSMUSP00000025048
1700061G19Rik,10090.
1700061N14Rik,10090.
1700063D05Rik,10090.
1700063H04Rik,10090.
1700064M15Rik,10090.
1700065D16Rik,10090.
1700066B17Rik,10090.
1700066B19Rik,10090.
1700066B19Rik,10090.ENSMUSP00000095222
1700066M21Rik,10090.ENSMUSP00000040240
1700066M21Rik,10090.
1700067K01Rik,10090.ENSMUSP00000062468
1700067K01Rik,10090.ENSMUSP00000134671
1700067K01Rik,10090.ENSMUSP00000134486
1700067K01Rik,10090.
1700069B07Rik,10090.-
1700069L16Rik,10090.ENSMUSP00000047454
1700069L16Rik,10090.
1700069L16Rik,10090.ENSMUSP00000124273
1700071M16Rik,10090.
1700072B07Rik,10090.
1700072G22Rik,10090.-
1700084C06Rik,10090.-
1700084E18Rik,10090.-
1700086D15Rik,10090.-
1700086O06Rik,10090.
1700086P04Rik,10090.
1700088E04Rik,10090.ENSMUSP00000139974
1700088E04Rik,10090.ENSMUSP00000140261
1700088E04Rik,10090.ENSMUSP00000139736
1700088E04Rik,10090.ENSMUSP00000141080
1700088E04Rik,10090.ENSMUSP00000140347
1700088E04Rik,10090.
1700088E04Rik,10090.ENSMUSP00000139884
1700088E04Rik,10090.ENSMUSP00000140611
1700088E04Rik,10090.ENSMUSP00000140978
1700088E04Rik,10090.ENSMUSP00000139947
1700088E04Rik,10090.ENSMUSP00000129244
1700088E04Rik,10090.ENSMUSP00000141129
1700092M07Rik,10090.
1700092M07Rik,10090.ENSMUSP00000130094
